! Mlynczak, 1993, GRL, p. 1439, "Rate of absorption of Solar Radiation in the O2(X3Sigma->b1Sigma) transition
! TABLE 1. Values of G(z) as a function of altitude (km), pressure (log10p, mbar), and solar zenith angle (degrees).
!
! This table was scanned to /home/simonc/data_direct/Mlynczak-1993.dat and interpolated to the SOCRATES pressure grid
! The "log-p" alt coordinate below is = 7 * ln(p0/p)
!
! log-p alt
!  (km)     SZA=10.  SZA=15.  SZA=20.  SZA=25.  SZA=30.  SZA=35.  SZA=40.  SZA=45.  SZA=50.  SZA=55.  SZA=60.  SZA=65.  SZA=70.  SZA=75.  SZA=80.  SZA=85.  SZA=90. 

  32.0000   0.0723   0.0712   0.0694   0.0672   0.0644   0.0611   0.0580   0.0539   0.0499   0.0454   0.0408   0.0357   0.0309   0.0256   0.0205   0.0148   0.0085
  31.0000   0.0657   0.0647   0.0633   0.0613   0.0590   0.0562   0.0534   0.0500   0.0467   0.0428   0.0388   0.0342   0.0301   0.0254   0.0208   0.0155   0.0090
  30.0000   0.0619   0.0610   0.0597   0.0579   0.0560   0.0535   0.0511   0.0480   0.0450   0.0416   0.0380   0.0340   0.0302   0.0257   0.0214   0.0164   0.0095
  29.0000   0.0581   0.0573   0.0561   0.0545   0.0530   0.0509   0.0488   0.0459   0.0432   0.0403   0.0371   0.0338   0.0302   0.0260   0.0219   0.0173   0.0099
  28.0000   0.0567   0.0559   0.0546   0.0532   0.0519   0.0500   0.0481   0.0457   0.0432   0.0403   0.0376   0.0344   0.0310   0.0269   0.0229   0.0179   0.0101
  27.0000   0.0554   0.0546   0.0532   0.0521   0.0508   0.0491   0.0475   0.0455   0.0431   0.0404   0.0381   0.0349   0.0319   0.0279   0.0239   0.0184   0.0104
  26.0000   0.0553   0.0546   0.0535   0.0525   0.0511   0.0498   0.0481   0.0462   0.0440   0.0414   0.0392   0.0360   0.0330   0.0292   0.0250   0.0193   0.0105
  25.0000   0.0554   0.0549   0.0541   0.0532   0.0516   0.0506   0.0490   0.0471   0.0451   0.0425   0.0404   0.0372   0.0341   0.0307   0.0261   0.0203   0.0107
  24.0000   0.0563   0.0559   0.0551   0.0542   0.0527   0.0517   0.0502   0.0484   0.0462   0.0438   0.0417   0.0384   0.0353   0.0317   0.0269   0.0207   0.0107
  23.0000   0.0576   0.0573   0.0564   0.0555   0.0541   0.0530   0.0516   0.0499   0.0475   0.0452   0.0429   0.0397   0.0366   0.0326   0.0275   0.0208   0.0107
  22.0000   0.0592   0.0588   0.0579   0.0570   0.0557   0.0544   0.0532   0.0514   0.0490   0.0467   0.0442   0.0410   0.0378   0.0333   0.0280   0.0210   0.0105
  21.0000   0.0610   0.0606   0.0596   0.0589   0.0576   0.0562   0.0548   0.0529   0.0508   0.0483   0.0456   0.0425   0.0389   0.0340   0.0284   0.0211   0.0102
  20.0000   0.0628   0.0622   0.0614   0.0607   0.0593   0.0578   0.0563   0.0543   0.0524   0.0497   0.0468   0.0438   0.0398   0.0345   0.0287   0.0211   0.0099
  19.0000   0.0644   0.0638   0.0631   0.0623   0.0607   0.0592   0.0578   0.0557   0.0534   0.0507   0.0478   0.0445   0.0402   0.0349   0.0290   0.0210   0.0095
  18.0000   0.0659   0.0653   0.0648   0.0638   0.0621   0.0606   0.0591   0.0570   0.0544   0.0516   0.0487   0.0451   0.0406   0.0352   0.0293   0.0208   0.0092
  17.0000   0.0673   0.0666   0.0662   0.0649   0.0635   0.0616   0.0601   0.0578   0.0552   0.0525   0.0491   0.0453   0.0409   0.0354   0.0293   0.0207   0.0089
  16.0000   0.0687   0.0680   0.0676   0.0660   0.0649   0.0626   0.0610   0.0586   0.0560   0.0533   0.0495   0.0455   0.0412   0.0355   0.0293   0.0206   0.0086
  15.0000   0.0692   0.0685   0.0681   0.0668   0.0653   0.0633   0.0613   0.0591   0.0563   0.0535   0.0499   0.0457   0.0412   0.0355   0.0292   0.0205   0.0083
  14.0000   0.0698   0.0691   0.0686   0.0675   0.0656   0.0639   0.0615   0.0597   0.0566   0.0537   0.0504   0.0459   0.0413   0.0354   0.0291   0.0203   0.0081
  13.0000   0.0701   0.0694   0.0687   0.0676   0.0658   0.0643   0.0619   0.0597   0.0566   0.0536   0.0500   0.0457   0.0410   0.0353   0.0286   0.0197   0.0075
  12.0000   0.0704   0.0696   0.0687   0.0675   0.0659   0.0646   0.0622   0.0595   0.0564   0.0533   0.0494   0.0454   0.0407   0.0351   0.0281   0.0190   0.0069
  11.0000   0.0701   0.0693   0.0683   0.0672   0.0655   0.0643   0.0620   0.0591   0.0560   0.0528   0.0488   0.0449   0.0400   0.0344   0.0273   0.0181   0.0059
  10.0000   0.0693   0.0686   0.0676   0.0668   0.0648   0.0637   0.0612   0.0586   0.0556   0.0521   0.0482   0.0443   0.0391   0.0333   0.0264   0.0171   0.0046
   9.0000   0.0687   0.0679   0.0670   0.0662   0.0641   0.0629   0.0603   0.0578   0.0548   0.0512   0.0473   0.0434   0.0380   0.0321   0.0251   0.0159   0.0034
   8.0000   0.0682   0.0673   0.0663   0.0653   0.0632   0.0618   0.0594   0.0566   0.0534   0.0500   0.0459   0.0420   0.0368   0.0308   0.0232   0.0145   0.0025
   7.0000   0.0673   0.0664   0.0654   0.0641   0.0622   0.0606   0.0584   0.0553   0.0521   0.0487   0.0445   0.0406   0.0353   0.0294   0.0215   0.0130   0.0015
   6.0000   0.0658   0.0650   0.0639   0.0625   0.0609   0.0595   0.0569   0.0542   0.0507   0.0476   0.0429   0.0388   0.0335   0.0278   0.0202   0.0113   0.0006
   5.0000   0.0640   0.0633   0.0621   0.0607   0.0593   0.0577   0.0552   0.0524   0.0491   0.0460   0.0411   0.0369   0.0315   0.0260   0.0185   0.0097   0.0000
   4.0000   0.0618   0.0609   0.0599   0.0587   0.0570   0.0549   0.0528   0.0497   0.0471   0.0435   0.0388   0.0345   0.0292   0.0240   0.0163   0.0084   0.0000
   3.0000   0.0594   0.0584   0.0572   0.0562   0.0544   0.0520   0.0501   0.0469   0.0446   0.0406   0.0362   0.0319   0.0267   0.0217   0.0143   0.0073   0.0000
   2.0000   0.0565   0.0557   0.0542   0.0530   0.0515   0.0492   0.0471   0.0442   0.0417   0.0374   0.0334   0.0291   0.0239   0.0192   0.0125   0.0064   0.0000
   1.0000   0.0531   0.0524   0.0509   0.0496   0.0481   0.0460   0.0436   0.0413   0.0385   0.0343   0.0304   0.0263   0.0213   0.0168   0.0106   0.0056   0.0000
   0.0000   0.0494   0.0488   0.0474   0.0461   0.0446   0.0426   0.0398   0.0382   0.0351   0.0314   0.0273   0.0236   0.0188   0.0144   0.0085   0.0048   0.0000
